sample	path	rep	time	treatment
K1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/K1	K	2h	NS
K2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/K2	K	2h	Form
K5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/K5	K	6h	NS
K6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/K6	K	6h	Form
L1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/L1	L	2h	NS
L2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/L2	L	2h	Form
L5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/L5	L	6h	NS
L6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/L6	L	6h	Form
M1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/M1	M	2h	NS
M2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/M2	M	2h	Form
M5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/M5	M	6h	NS
M6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/M6	M	6h	Form
N1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/N1	N	2h	NS
N2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/N2	N	2h	Form
N5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/N5	N	6h	NS
N6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/N6	N	6h	Form
P1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/P1	P	2h	NS
P2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/P2	P	2h	Form
P5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/P5	P	6h	NS
P6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/P6	P	6h	Form
Q1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/Q1	Q	2h	NS
Q2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/Q2	Q	2h	Form
Q5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/Q5	Q	6h	NS
Q6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/Q6	Q	6h	Form
R1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/R1	R	2h	NS
R2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/R2	R	2h	Form
R5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/R5	R	6h	NS
R6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/R6	R	6h	Form
T1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/T1	X	6h	NS
T2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/T2	X	6h	Form
T3	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/T3	Y	6h	NS
T4	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/T4	Y	6h	Form
T5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/T5	Z	6h	NS
T6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/T6	Z	6h	Form
V1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/V1	X	2h	NS
V2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/V2	X	2h	Form
V3	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/V3	Y	2h	NS
V4	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/V4	Y	2h	Form
V5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/V5	Z	2h	NS
V6	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/ali_kallisto/V6	Z	2h	Form
