sample	path	rep	time	treatment
A1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/A1	1	2h	NS
A2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/A2	2	2h	NS
A3	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/A3	3	2h	NS
A4	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/A4	4	2h	NS
A5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/A5	5	2h	NS
B1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/B1	1	2h	Form
B2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/B2	2	2h	Form
B3	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/B3	3	2h	Form
B4	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/B4	4	2h	Form
B5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/B5	5	2h	Form
M1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/M1	1	6h	NS
M2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/M2	2	6h	NS
M3	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/M3	3	6h	NS
M4	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/M4	4	6h	NS
M5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/M5	5	6h	NS
N1	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/N1	1	6h	Form
N2	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/N2	2	6h	Form
N3	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/N3	3	6h	Form
N4	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/N4	4	6h	Form
N5	/work/giembycz_lab/ALI-B2B-HBE_comparison/kallisto/b2b_kallisto/N5	5	6h	Form
