sample	path	time	patient	ttt	treatment
K5	/work/giembycz_lab/ALI_analysis/kallisto/K5	6h	K	A	NS
L5	/work/giembycz_lab/ALI_analysis/kallisto/L5	6h	L	A	NS
M5	/work/giembycz_lab/ALI_analysis/kallisto/M5	6h	M	A	NS
N5	/work/giembycz_lab/ALI_analysis/kallisto/N5	6h	N	A	NS
P5	/work/giembycz_lab/ALI_analysis/kallisto/P5	6h	P	A	NS
Q5	/work/giembycz_lab/ALI_analysis/kallisto/Q5	6h	Q	A	NS
R5	/work/giembycz_lab/ALI_analysis/kallisto/R5	6h	R	A	NS
S1	/work/giembycz_lab/ALI_analysis/kallisto/S1	6h	K	E	Fsk
S2	/work/giembycz_lab/ALI_analysis/kallisto/S2	6h	L	E	Fsk
S3	/work/giembycz_lab/ALI_analysis/kallisto/S3	6h	M	E	Fsk
S4	/work/giembycz_lab/ALI_analysis/kallisto/S4	6h	N	E	Fsk
S5	/work/giembycz_lab/ALI_analysis/kallisto/S5	6h	P	E	Fsk
S6	/work/giembycz_lab/ALI_analysis/kallisto/S6	6h	Q	E	Fsk
S7	/work/giembycz_lab/ALI_analysis/kallisto/S7	6h	R	E	Fsk
S8	/work/giembycz_lab/ALI_analysis/kallisto/S8	6h	X	E	Fsk
T1	/work/giembycz_lab/ALI_analysis/kallisto/T1	6h	X	A	NS
T3	/work/giembycz_lab/ALI_analysis/kallisto/T3	6h	Y	A	NS
T5	/work/giembycz_lab/ALI_analysis/kallisto/T5	6h	Z	A	NS
T7	/work/giembycz_lab/ALI_analysis/kallisto/T7	6h	Y	E	Fsk
T8	/work/giembycz_lab/ALI_analysis/kallisto/T8	6h	Z	E	Fsk
